,都道府県名,市区町村名,開設局数,更新日
0,東京都,港区,2619,2021-06-05
1,神奈川県,横浜市戸塚区,3169,2021-06-05
2,滋賀県,大津市,39,2021-06-05
3,滋賀県,彦根市,21,2021-06-05
4,滋賀県,長浜市,1,2021-06-05
5,滋賀県,近江八幡市,22,2021-06-05
6,滋賀県,草津市,11,2021-06-05
7,滋賀県,守山市,13,2021-06-05
8,滋賀県,栗東市,6,2021-06-05
9,滋賀県,甲賀市,3,2021-06-05
10,滋賀県,野洲市,14,2021-06-05
11,滋賀県,湖南市,9,2021-06-05
12,滋賀県,高島市,1,2021-06-05
13,滋賀県,東近江市,23,2021-06-05
14,滋賀県,愛知郡愛荘町,1,2021-06-05
15,京都府,京都市北区,24,2021-06-05
16,京都府,京都市上京区,19,2021-06-05
17,京都府,京都市左京区,30,2021-06-05
18,京都府,京都市中京区,30,2021-06-05
19,京都府,京都市東山区,31,2021-06-05
20,京都府,京都市下京区,29,2021-06-05
21,京都府,京都市南区,26,2021-06-05
22,京都府,京都市右京区,32,2021-06-05
23,京都府,京都市伏見区,29,2021-06-05
24,京都府,京都市山科区,18,2021-06-05
25,京都府,京都市西京区,24,2021-06-05
26,京都府,福知山市,17,2021-06-05
27,京都府,舞鶴市,21,2021-06-05
28,京都府,宇治市,3,2021-06-05
29,京都府,亀岡市,4,2021-06-05
30,京都府,城陽市,8,2021-06-05
31,京都府,向日市,5,2021-06-05
32,京都府,長岡京市,8,2021-06-05
33,京都府,八幡市,4,2021-06-05
34,京都府,京田辺市,5,2021-06-05
35,京都府,木津川市,3,2021-06-05
36,京都府,乙訓郡大山崎町,2,2021-06-05
37,京都府,久世郡久御山町,3,2021-06-05
38,大阪府,大阪市都島区,22,2021-06-05
39,大阪府,大阪市福島区,26,2021-06-05
40,大阪府,大阪市此花区,28,2021-06-05
41,大阪府,大阪市西区,43,2021-06-05
42,大阪府,大阪市港区,17,2021-06-05
43,大阪府,大阪市大正区,13,2021-06-05
44,大阪府,大阪市天王寺区,21,2021-06-05
45,大阪府,大阪市浪速区,31,2021-06-05
46,大阪府,大阪市西淀川区,24,2021-06-05
47,大阪府,大阪市東淀川区,32,2021-06-05
48,大阪府,大阪市東成区,18,2021-06-05
49,大阪府,大阪市生野区,25,2021-06-05
50,大阪府,大阪市旭区,14,2021-06-05
51,大阪府,大阪市城東区,22,2021-06-05
52,大阪府,大阪市阿倍野区,24,2021-06-05
53,大阪府,大阪市住吉区,26,2021-06-05
54,大阪府,大阪市東住吉区,21,2021-06-05
55,大阪府,大阪市西成区,19,2021-06-05
56,大阪府,大阪市淀川区,45,2021-06-05
57,大阪府,大阪市鶴見区,19,2021-06-05
58,大阪府,大阪市住之江区,32,2021-06-05
59,大阪府,大阪市平野区,31,2021-06-05
60,大阪府,大阪市北区,96,2021-06-05
61,大阪府,大阪市中央区,119,2021-06-05
62,大阪府,堺市堺区,33,2021-06-05
63,大阪府,堺市中区,21,2021-06-05
64,大阪府,堺市東区,14,2021-06-05
65,大阪府,堺市西区,25,2021-06-05
66,大阪府,堺市南区,17,2021-06-05
67,大阪府,堺市北区,24,2021-06-05
68,大阪府,堺市美原区,7,2021-06-05
69,大阪府,岸和田市,27,2021-06-05
70,大阪府,豊中市,15,2021-06-05
71,大阪府,池田市,8,2021-06-05
72,大阪府,吹田市,40,2021-06-05
73,大阪府,泉大津市,10,2021-06-05
74,大阪府,高槻市,53,2021-06-05
75,大阪府,貝塚市,11,2021-06-05
76,大阪府,守口市,16,2021-06-05
77,大阪府,枚方市,24,2021-06-05
78,大阪府,茨木市,43,2021-06-05
79,大阪府,八尾市,34,2021-06-05
80,大阪府,泉佐野市,16,2021-06-05
81,大阪府,富田林市,11,2021-06-05
82,大阪府,寝屋川市,30,2021-06-05
83,大阪府,河内長野市,15,2021-06-05
84,大阪府,松原市,14,2021-06-05
85,大阪府,大東市,10,2021-06-05
86,大阪府,和泉市,15,2021-06-05
87,大阪府,箕面市,14,2021-06-05
88,大阪府,柏原市,11,2021-06-05
89,大阪府,羽曳野市,16,2021-06-05
90,大阪府,門真市,18,2021-06-05
91,大阪府,摂津市,7,2021-06-05
92,大阪府,高石市,6,2021-06-05
93,大阪府,藤井寺市,3,2021-06-05
94,大阪府,東大阪市,90,2021-06-05
95,大阪府,泉南市,9,2021-06-05
96,大阪府,四條畷市,8,2021-06-05
97,大阪府,交野市,14,2021-06-05
98,大阪府,大阪狭山市,8,2021-06-05
99,大阪府,豊能郡豊能町,1,2021-06-05
100,大阪府,泉北郡忠岡町,1,2021-06-05
101,大阪府,泉南郡熊取町,8,2021-06-05
102,大阪府,南河内郡太子町,1,2021-06-05
103,大阪府,南河内郡河南町,2,2021-06-05
104,兵庫県,神戸市東灘区,63,2021-06-05
105,兵庫県,神戸市灘区,41,2021-06-05
106,兵庫県,神戸市兵庫区,29,2021-06-05
107,兵庫県,神戸市長田区,16,2021-06-05
108,兵庫県,神戸市須磨区,14,2021-06-05
109,兵庫県,神戸市垂水区,16,2021-06-05
110,兵庫県,神戸市北区,34,2021-06-05
111,兵庫県,神戸市中央区,68,2021-06-05
112,兵庫県,神戸市西区,28,2021-06-05
113,兵庫県,姫路市,94,2021-06-05
114,兵庫県,尼崎市,97,2021-06-05
115,兵庫県,明石市,10,2021-06-05
116,兵庫県,西宮市,163,2021-06-05
117,兵庫県,芦屋市,20,2021-06-05
118,兵庫県,伊丹市,32,2021-06-05
119,兵庫県,豊岡市,8,2021-06-05
120,兵庫県,加古川市,20,2021-06-05
121,兵庫県,宝塚市,48,2021-06-05
122,兵庫県,高砂市,8,2021-06-05
123,兵庫県,川西市,25,2021-06-05
124,兵庫県,小野市,5,2021-06-05
125,兵庫県,三田市,1,2021-06-05
126,兵庫県,たつの市,13,2021-06-05
127,兵庫県,川辺郡猪名川町,2,2021-06-05
128,兵庫県,加古郡稲美町,10,2021-06-05
129,兵庫県,加古郡播磨町,4,2021-06-05
130,兵庫県,揖保郡太子町,8,2021-06-05
131,奈良県,奈良市,52,2021-06-05
132,奈良県,大和高田市,13,2021-06-05
133,奈良県,大和郡山市,18,2021-06-05
134,奈良県,天理市,13,2021-06-05
135,奈良県,橿原市,25,2021-06-05
136,奈良県,桜井市,10,2021-06-05
137,奈良県,五條市,10,2021-06-05
138,奈良県,御所市,2,2021-06-05
139,奈良県,生駒市,19,2021-06-05
140,奈良県,香芝市,9,2021-06-05
141,奈良県,宇陀市,1,2021-06-05
142,奈良県,生駒郡三郷町,1,2021-06-05
143,奈良県,生駒郡斑鳩町,1,2021-06-05
144,奈良県,北葛城郡上牧町,4,2021-06-05
145,奈良県,北葛城郡王寺町,1,2021-06-05
146,奈良県,吉野郡吉野町,1,2021-06-05
147,奈良県,吉野郡大淀町,7,2021-06-05
148,和歌山県,和歌山市,36,2021-06-05
149,和歌山県,海南市,1,2021-06-05
150,和歌山県,御坊市,2,2021-06-05
151,和歌山県,田辺市,3,2021-06-05
152,和歌山県,日高郡みなべ町,1,2021-06-05
153,和歌山県,西牟婁郡白浜町,6,2021-06-05
154,和歌山県,西牟婁郡上富田町,5,2021-06-05
