団体コード,都道府県名,開設局数,更新日
130001,東京都,6,2021-06-07
140007,神奈川県,6,2021-06-07
400009,福岡県,647,2021-06-07
410004,佐賀県,79,2021-06-07
420000,長崎県,84,2021-06-07
430005,熊本県,131,2021-06-07
440001,大分県,109,2021-06-07
450006,宮崎県,123,2021-06-07
460001,鹿児島県,104,2021-06-07
