団体コード,都道府県名,開設局数,更新日
310000,鳥取県,91,2021-06-06
320005,島根県,74,2021-06-06
330001,岡山県,214,2021-06-06
340006,広島県,325,2021-06-06
350001,山口県,184,2021-06-06
