団体コード,都道府県名,市区町村名,開設局数,更新日
312011,鳥取県,鳥取市,50,2021-06-06
312029,鳥取県,米子市,26,2021-06-06
312037,鳥取県,倉吉市,5,2021-06-06
312045,鳥取県,境港市,1,2021-06-06
313289,鳥取県,八頭郡智頭町,4,2021-06-06
313297,鳥取県,八頭郡八頭町,3,2021-06-06
313840,鳥取県,西伯郡日吉津村,2,2021-06-06
322016,島根県,松江市,39,2021-06-06
322024,島根県,浜田市,2,2021-06-06
322032,島根県,出雲市,13,2021-06-06
322041,島根県,益田市,8,2021-06-06
322059,島根県,大田市,2,2021-06-06
322075,島根県,江津市,7,2021-06-06
322091,島根県,雲南市,2,2021-06-06
324418,島根県,邑智郡川本町,1,2021-06-06
331015,岡山県,岡山市北区,39,2021-06-06
331023,岡山県,岡山市中区,15,2021-06-06
331031,岡山県,岡山市東区,28,2021-06-06
331040,岡山県,岡山市南区,15,2021-06-06
332020,岡山県,倉敷市,95,2021-06-06
332038,岡山県,津山市,2,2021-06-06
332054,岡山県,笠岡市,10,2021-06-06
332071,岡山県,井原市,4,2021-06-06
332097,岡山県,高梁市,1,2021-06-06
332127,岡山県,瀬戸内市,3,2021-06-06
334235,岡山県,都窪郡早島町,2,2021-06-06
341011,広島県,広島市中区,17,2021-06-06
341029,広島県,広島市東区,11,2021-06-06
341037,広島県,広島市南区,18,2021-06-06
341045,広島県,広島市西区,16,2021-06-06
341053,広島県,広島市安佐南区,21,2021-06-06
341061,広島県,広島市安佐北区,40,2021-06-06
341070,広島県,広島市安芸区,9,2021-06-06
341088,広島県,広島市佐伯区,29,2021-06-06
342025,広島県,呉市,22,2021-06-06
342033,広島県,竹原市,2,2021-06-06
342041,広島県,三原市,8,2021-06-06
342050,広島県,尾道市,6,2021-06-06
342076,広島県,福山市,84,2021-06-06
342084,広島県,府中市,1,2021-06-06
342092,広島県,三次市,3,2021-06-06
342122,広島県,東広島市,14,2021-06-06
342131,広島県,廿日市市,10,2021-06-06
342157,広島県,江田島市,5,2021-06-06
343021,広島県,安芸郡府中町,2,2021-06-06
343048,広島県,安芸郡海田町,3,2021-06-06
343072,広島県,安芸郡熊野町,4,2021-06-06
352012,山口県,下関市,52,2021-06-06
352021,山口県,宇部市,41,2021-06-06
352039,山口県,山口市,33,2021-06-06
352047,山口県,萩市,6,2021-06-06
352063,山口県,防府市,21,2021-06-06
352071,山口県,下松市,1,2021-06-06
352080,山口県,岩国市,6,2021-06-06
352128,山口県,柳井市,2,2021-06-06
352152,山口県,周南市,6,2021-06-06
352161,山口県,山陽小野田市,13,2021-06-06
353051,山口県,大島郡周防大島町,3,2021-06-06
