団体コード,都道府県名,開設局数,更新日
20001,青森県,172,2021-06-07
30007,岩手県,106,2021-06-07
40002,宮城県,358,2021-06-07
50008,秋田県,206,2021-06-07
60003,山形県,98,2021-06-07
70009,福島県,266,2021-06-07
