団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
234419,愛知県,知多郡阿久比町,10,10,0
234427,愛知県,知多郡東浦町,15,15,0
234451,愛知県,知多郡南知多町,9,9,0
234460,愛知県,知多郡美浜町,11,12,1
234478,愛知県,知多郡武豊町,10,10,0
235016,愛知県,額田郡幸田町,20,20,0
235610,愛知県,北設楽郡設楽町,22,22,0
235628,愛知県,北設楽郡東栄町,4,4,0
235636,愛知県,北設楽郡豊根村,2,2,0
240001,三重県,,664,668,4
242012,三重県,津市,91,92,1
242021,三重県,四日市市,72,73,1
242039,三重県,伊勢市,43,43,0
242047,三重県,松阪市,51,51,0
242055,三重県,桑名市,65,65,0
242071,三重県,鈴鹿市,55,55,0
242080,三重県,名張市,18,18,0
242098,三重県,尾鷲市,7,7,0
242101,三重県,亀山市,24,24,0
242110,三重県,鳥羽市,9,9,0
242128,三重県,熊野市,15,15,0
242144,三重県,いなべ市,19,19,0
242152,三重県,志摩市,21,21,0
242161,三重県,伊賀市,40,40,0
243035,三重県,桑名郡木曽岬町,4,4,0
243248,三重県,員弁郡東員町,13,13,0
243418,三重県,三重郡菰野町,17,18,1
243434,三重県,三重郡朝日町,3,3,0
243442,三重県,三重郡川越町,5,5,0
244414,三重県,多気郡多気町,15,15,0
244422,三重県,多気郡明和町,17,17,0
244431,三重県,多気郡大台町,12,12,0
244619,三重県,度会郡玉城町,10,10,0
244708,三重県,度会郡度会町,7,7,0
244716,三重県,度会郡大紀町,8,8,0
244724,三重県,度会郡南伊勢町,8,8,0
245437,三重県,北牟婁郡紀北町,7,7,0
245615,三重県,南牟婁郡御浜町,3,4,1
245623,三重県,南牟婁郡紀宝町,5,5,0
