団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
114642,埼玉県,北葛飾郡杉戸町,9,9,0
114651,埼玉県,北葛飾郡松伏町,6,6,0
120006,千葉県,,1612,1624,12
121011,千葉県,千葉市中央区,77,77,0
121029,千葉県,千葉市花見川区,46,46,0
121037,千葉県,千葉市稲毛区,48,48,0
121045,千葉県,千葉市若葉区,56,56,0
121053,千葉県,千葉市緑区,31,31,0
121061,千葉県,千葉市美浜区,37,37,0
122025,千葉県,銚子市,24,24,0
122033,千葉県,市川市,122,122,0
122041,千葉県,船橋市,165,166,1
122068,千葉県,木更津市,36,37,1
122076,千葉県,松戸市,100,99,-1
122084,千葉県,野田市,39,39,0
122106,千葉県,茂原市,16,16,0
122114,千葉県,成田市,37,38,1
122122,千葉県,佐倉市,32,33,1
122131,千葉県,東金市,18,20,2
122157,千葉県,旭市,20,20,0
122165,千葉県,習志野市,35,35,0
122173,千葉県,柏市,77,78,1
122181,千葉県,勝浦市,0,1,1
122190,千葉県,市原市,54,56,2
122203,千葉県,流山市,29,28,-1
122211,千葉県,八千代市,44,44,0
122220,千葉県,我孫子市,30,30,0
122246,千葉県,鎌ケ谷市,18,19,1
122254,千葉県,君津市,28,28,0
122262,千葉県,富津市,5,5,0
122271,千葉県,浦安市,57,57,0
122289,千葉県,四街道市,19,19,0
122297,千葉県,袖ケ浦市,20,20,0
122301,千葉県,八街市,27,28,1
122319,千葉県,印西市,23,23,0
122327,千葉県,白井市,14,14,0
122335,千葉県,富里市,19,19,0
122351,千葉県,匝瑳市,20,20,0
122360,千葉県,香取市,25,25,0
122378,千葉県,山武市,28,28,0
122386,千葉県,いすみ市,17,17,0
122394,千葉県,大網白里市,21,21,0
123226,千葉県,印旛郡酒々井町,15,15,0
123293,千葉県,印旛郡栄町,8,8,0
123421,千葉県,香取郡神崎町,4,4,0
123471,千葉県,香取郡多古町,1,2,1
123498,千葉県,香取郡東庄町,7,7,0
124036,千葉県,山武郡九十九里町,7,7,0
