団体コード,都道府県名,開設局数
130001,東京都,2619
140007,神奈川県,3169
250007,滋賀県,164
260002,京都府,375
270008,大阪府,1518
280003,兵庫県,877
290009,奈良県,187
300004,和歌山県,54
